ac_no,ac_name,winner_party,runnerup_party,victory_margin,total_eligible_voters_2021,total_eligible_voters_2025,removed_voters_2025,not_voted_2021,risk_level
163,Nagapattinam,VCK,ADMK,7238,197960,165979,31981,54400,High Impact
34,Cheyyur,VCK,ADMK,4042,227468,195861,31607,48348,High Impact
67,Arani,ADMK,DMK,3128,277727,246208,31519,56305,High Impact
41,Ranipet,DMK,ADMK,16498,267260,235960,31300,59798,High Impact
158,Chidambaram,ADMK,IUML,16937,251100,220106,30994,67748,High Impact
123,Pollachi,ADMK,DMK,1725,227093,196375,30718,49785,High Impact
196,Thirumangalam,ADMK,DMK,14087,279598,249282,30316,59103,High Impact
96,Tiruchengodu,DMK,ADMK,2862,231133,200947,30186,46464,High Impact
171,Kumbakonam,DMK,ADMK,21383,273097,243129,29968,75533,High Impact
94,Namakkal,DMK,ADMK,27861,257854,227922,29932,51095,High Impact
133,Vedasandur,DMK,ADMK,17553,263561,233850,29711,50481,High Impact
199,Periyakulam,DMK,ADMK,21321,285471,255981,29490,83674,High Impact
198,Andipatti,DMK,ADMK,8538,278344,249035,29309,68804,High Impact
44,Anaikattu,DMK,ADMK,6360,256727,227645,29082,58922,High Impact
39,Sholinghur,INC,PMK,26698,278034,248967,29067,53925,High Impact
209,Paramakudi,DMK,ADMK,13285,256158,227237,28921,74000,High Impact
224,Tirunelveli,BJP,DMK,23107,292411,263685,28726,94824,High Impact
135,Karur,DMK,ADMK,12448,245356,216777,28579,38046,High Impact
2,Ponneri,INC,ADMK,9689,267368,239141,28227,57014,High Impact
180,Pudukkottai,DMK,ADMK,13001,244029,215915,28114,64137,High Impact
187,Manamadurai,DMK,ADMK,14091,278605,251054,27551,75544,High Impact
230,Nagercoil,BJP,DMK,11669,270845,243329,27516,86660,High Impact
81,Gangavalli,ADMK,DMK,7361,239024,211583,27441,52521,High Impact
68,Cheyyar,DMK,ADMK,12271,259890,232720,27170,45430,High Impact
111,Mettuppalayam,ADMK,DMK,2456,296937,269898,27039,71854,High Impact
225,Ambasamudram,ADMK,DMK,16915,245003,218010,26993,67322,High Impact
55,Hosur,DMK,ADMK,12367,351771,324791,26980,103673,High Impact
42,Arcot,DMK,PMK,19958,262476,235816,26660,52685,High Impact
162,Poompuhar,DMK,ADMK,3299,275903,249516,26387,68065,High Impact
155,Cuddalore,DMK,ADMK,5151,239474,213392,26082,57473,High Impact
200,Bodinayakanur,ADMK,DMK,11021,278815,252964,25851,64020,High Impact
219,Sankarankovil,DMK,ADMK,5297,254243,228521,25722,70905,High Impact
157,Bhuvanagiri,ADMK,DMK,8259,248629,223530,25099,51464,High Impact
104,Bhavani,ADMK,DMK,22523,238721,214272,24449,37336,High Impact
152,Vriddhachalam,INC,PMK,862,252911,228537,24374,56177,High Impact
184,Karaikudi,INC,BJP,21589,317276,293489,23787,104820,High Impact
36,Uthiramerur,DMK,ADMK,1622,260462,237024,23438,49933,High Impact
146,Thuraiyur,DMK,ADMK,22071,226152,202720,23432,50276,High Impact
108,Udhagamandalam,INC,BJP,5348,206039,182624,23415,64937,High Impact
73,Vanur,ADMK,VCK,21727,226608,203683,22925,44400,High Impact
103,Perundurai,ADMK,DMK,14507,227887,204985,22902,38044,High Impact
95,Paramathi-Velur,ADMK,DMK,7662,221664,198862,22802,37967,High Impact
33,Thiruporur,VCK,PMK,1947,294620,271976,22644,67891,High Impact
93,Senthamangalam,DMK,ADMK,10493,243556,221051,22505,44321,High Impact
87,Sankari,ADMK,DMK,20045,274307,251866,22441,42060,High Impact
212,Mudhukulathur,DMK,ADMK,20721,310954,288663,22291,89758,High Impact
222,Tenkasi,INC,ADMK,370,292538,270465,22073,78430,High Impact
92,Rasipuram,DMK,ADMK,1952,236580,214825,21755,39676,High Impact
35,Madurantakam,ADMK,DMK,3570,226715,205344,21371,40873,High Impact
105,Anthiyur,DMK,ADMK,1275,219615,199285,20330,43230,High Impact
161,Mayiladuthurai,INC,PMK,2742,246064,225840,20224,71424,High Impact
220,Vasudevanallur,DMK,ADMK,2367,241748,221596,20152,65867,High Impact
45,Kilvaithinankuppam,ADMK,DMK,10582,227241,207382,19859,53117,High Impact
160,Sirkazhi,DMK,ADMK,12148,252621,232766,19855,61296,High Impact
229,Kanniyakumari,ADMK,DMK,16210,293657,274069,19588,68536,High Impact
110,Coonoor,DMK,ADMK,4105,192118,172652,19466,56210,High Impact
217,Ottapidaram,DMK,ADMK,8510,251597,232536,19061,73757,High Impact
65,Kalasapakkam,DMK,ADMK,9222,243655,225039,18616,47221,High Impact
72,Tindivanam,ADMK,DMK,9753,230570,212097,18473,48032,High Impact
66,Polur,ADMK,DMK,9725,245195,227178,18017,43183,High Impact
210,Tiruvadanai,INC,ADMK,13852,291236,273439,17797,89421,High Impact
71,Mailam,PMK,DMK,2230,220324,202528,17796,43335,High Impact
52,Bargur,DMK,ADMK,12614,248335,230617,17718,50551,High Impact
216,Srivaikuntam,INC,ADMK,17372,224689,207054,17635,60303,High Impact
47,Vaniyambadi,ADMK,IUML,4904,250220,232804,17416,60223,High Impact
169,Nannilam,ADMK,DMK,4424,272305,255800,16505,50361,High Impact
62,Chengam,DMK,ADMK,11570,275419,259604,15815,51469,High Impact
223,Alangulam,ADMK,DMK,3539,260688,245164,15524,57210,High Impact
54,Veppanahalli,ADMK,DMK,3054,252085,236780,15305,46944,High Impact
181,Thirumayam,DMK,ADMK,1382,227883,213109,14774,53852,High Impact
49,Jolarpet,DMK,ADMK,1091,240869,226693,14176,44511,High Impact
178,Gandarvakkottai,CPI(M),ADMK,12721,201607,188047,13560,43987,High Impact
148,Kunnam,DMK,ADMK,6329,273526,260376,13150,53647,High Impact
149,Ariyalur,DMK,ADMK,3234,264971,252333,12638,39746,High Impact
150,Jayankondam,DMK,PMK,5452,266741,254189,12552,50373,High Impact
154,Panruti,DMK,ADMK,4697,245530,233247,12283,48481,High Impact
75,Vikravandi,DMK,ADMK,9573,234841,222796,12045,41224,High Impact
170,Thiruvidaimarudur,DMK,ADMK,10680,259518,248012,11506,61072,High Impact
109,Gudalur,ADMK,DMK,1945,189221,177800,11421,50964,High Impact
53,Krishnagiri,ADMK,DMK,794,268189,257501,10688,56541,High Impact
77,Ulundurpettai,DMK,ADMK,5256,293464,287413,6051,48611,High Impact
